City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
202,broken hill,-31.95,141.4333,39.99,12,76,13.14,AU,1702017335
203,fortuna,40.5982,-124.1573,7.59,97,100,0.89,US,1702017336
204,alvaraes,-3.2208,-64.8042,22.61,100,100,0.52,BR,1702017337
205,sebastopol,44.6,33.5333,11.67,63,100,1.79,UA,1702017337
206,hilo,19.7297,-155.09,22.57,91,75,3.09,US,1702017337
207,riachao do jacuipe,-11.8069,-39.3856,21.1,96,100,1.48,BR,1702017338
208,palikir - national government center,6.9248,158.1611,25.41,89,100,2.06,FM,1702017339
209,aars,56.804,9.5144,0.99,95,100,5.34,DK,1702017340
210,cide,41.8921,33.0044,12.78,81,100,1.21,TR,1702017340
211,keflavik,64.0049,-22.5624,0.24,64,0,4.12,IS,1702017341
212,avarua,-21.2078,-159.775,25.03,73,100,4.63,CK,1702017341
213,zhongshan,21.3226,110.5829,23.22,67,80,4.49,CN,1702017342
214,quellon,-43.1167,-73.6167,7.78,93,9,2.36,CL,1702017342
215,stanley,54.868,-1.6985,5.29,96,100,3.09,GB,1702017343
216,ribeira brava,32.65,-17.0667,19.28,75,19,1.12,PT,1702017343
217,cananeia,-25.0147,-47.9267,23.9,94,100,0.6,BR,1702017344
218,chegdomyn,51.1167,133.0167,-14.79,88,100,1.49,RU,1702017142
219,basco,20.4487,121.9702,25.56,82,98,9.82,PH,1702017345
220,eraan,9.0629,117.7016,28.46,76,92,1.42,PH,1702017346
221,nishinoomote,30.7333,131.0,17.31,63,20,2.06,JP,1702017347
222,gemena,3.25,19.7667,22.72,90,100,0.42,CD,1702017347
223,new norfolk,-42.7826,147.0587,19.72,74,100,2.39,AU,1702017348
224,sarayonu,38.262,32.4046,7.79,73,100,5.22,TR,1702017349
225,jamestown,42.097,-79.2353,0.86,100,0,2.06,US,1702017349
226,newman,37.3138,-121.0208,9.6,84,1,2.32,US,1702017350
227,marks,51.7111,46.7486,-16.58,90,13,4.19,RU,1702017087
228,sao jose da coroa grande,-8.8978,-35.1478,24.76,83,27,3.68,BR,1702017351
229,san antonio de pale,-1.4014,5.6325,26.68,78,100,1.48,GQ,1702017352
230,taoudenni,22.6783,-3.9836,18.22,32,100,3.83,ML,1702017352
231,port saint john's,-31.6229,29.5448,25.8,55,0,1.58,ZA,1702017353
232,nadi,-17.8,177.4167,28.0,69,75,5.14,FJ,1702017353
233,linz,48.3064,14.2861,-3.76,88,100,1.54,AT,1702017354
234,manicore,-5.8092,-61.3003,22.15,99,78,0.67,BR,1702017354
235,port alfred,-33.5906,26.891,22.32,79,4,3.58,ZA,1702017355
236,yuzhno-kurilsk,44.0306,145.8556,3.54,89,98,14.14,RU,1702017355
237,malango,-2.9627,119.9001,25.31,85,80,0.46,ID,1702017356
238,sao tome,0.3365,6.7273,23.02,94,75,2.57,ST,1702017356
239,kununurra,-15.7667,128.7333,38.99,32,40,3.6,AU,1702017225
240,tres arroyos,-38.3739,-60.2798,9.14,74,5,3.03,AR,1702017357
241,kolokani,13.5728,-8.0339,19.97,20,5,4.32,ML,1702017357
242,shar,49.5886,81.0453,-16.21,81,100,3.86,KZ,1702017358
243,smithers,54.7804,-127.1743,-5.82,93,75,1.03,CA,1702017358
244,gopalganj,26.4667,84.4333,25.69,47,0,4.09,IN,1702017360
245,ulsteinvik,62.3432,5.8487,0.07,67,15,2.68,NO,1702017360
246,muang phonsavan,19.45,103.2167,26.68,47,60,1.64,LA,1702017361
247,udachny,66.4167,112.4,-29.2,74,100,1.84,RU,1702017174
248,vinchia,22.2,71.3667,26.51,41,0,3.89,IN,1702017361
249,zastron,-30.3023,27.084,19.06,56,17,1.66,ZA,1702017362
250,castillos,-34.1667,-53.8333,12.66,82,1,2.84,UY,1702017363
251,funadhoo,6.15,73.2667,27.71,82,100,8.78,MV,1702017364
252,cannonvale,-20.2833,148.7,27.66,64,5,8.63,AU,1702017364
253,langsa,4.4683,97.9683,30.16,65,100,1.65,ID,1702017365
254,kalmunai,7.4167,81.8167,29.56,72,84,3.74,LK,1702017366
255,nokha,27.6,73.4167,22.72,19,0,0.85,IN,1702017366
256,arkhangel'sk,64.5401,40.5433,-19.94,84,100,3.0,RU,1702017367
257,howrah,22.5892,88.3103,22.0,83,75,4.12,IN,1702017368
258,uribia,11.7139,-72.266,26.3,78,19,6.79,CO,1702017247
259,baiti,13.745,-14.7482,22.52,18,94,2.04,SN,1702017369
260,valparaiso,-33.0393,-71.6273,13.8,88,75,1.54,CL,1702017250
261,orchard homes,46.8633,-114.0484,1.58,77,100,0.89,US,1702017370
262,cruz del eje,-30.7264,-64.8039,18.68,55,0,3.44,AR,1702017371
263,clarence town,-32.5833,151.7833,32.95,38,7,5.66,AU,1702017372
264,hermanus,-34.4187,19.2345,20.21,75,6,3.46,ZA,1702017373
265,skowhegan,44.7651,-69.7192,-11.69,93,29,1.22,US,1702017374
266,sao gabriel da cachoeira,-0.1303,-67.0892,22.83,99,100,0.19,BR,1702017375
267,cabo san lucas,22.8909,-109.9124,23.62,61,0,0.45,MX,1702017339
268,nan,18.8333,100.6667,28.01,61,20,1.54,TH,1702017376
269,noshiro,40.2039,140.0242,9.46,77,88,2.11,JP,1702017377
270,victoria point,-27.5833,153.3,29.63,69,0,4.47,AU,1702017378
271,kenora,49.8167,-94.4337,3.54,70,75,5.14,CA,1702017378
272,pisco,-13.7,-76.2167,19.03,88,0,4.63,PE,1702017379
273,yiyang,28.5892,112.3283,21.14,31,100,4.08,CN,1702017379
274,touros,-5.1989,-35.4608,26.22,76,94,6.51,BR,1702017380
275,mastic beach,40.7668,-72.8521,4.43,86,20,0.0,US,1702017381
276,praia da vitoria,38.7333,-27.0667,20.14,88,40,13.89,PT,1702017381
277,gaigeturi,33.4644,126.3183,20.03,42,0,2.57,KR,1702017382
278,vuktyl,63.8567,57.3094,-24.29,98,100,1.1,RU,1702017382
279,ierapetra,35.01,25.7353,15.08,68,22,1.79,GR,1702017383
280,badiyah,22.45,58.8,24.66,28,0,1.1,OM,1702017383
281,prince george,53.9166,-122.753,-4.31,94,100,0.0,CA,1702017384
282,codrington,-38.2667,141.9667,16.78,89,100,3.89,AU,1702017385
283,aioun,16.6614,-9.6149,20.16,18,96,4.94,MR,1702017385
284,vicam,27.6333,-110.2833,20.58,33,0,2.13,MX,1702017386
285,valle de la pascua,9.2155,-66.0073,23.91,86,100,2.91,VE,1702017386
286,inirida,3.8653,-67.9239,22.87,99,100,1.3,CO,1702017387
287,dadukou,26.5479,101.7054,17.87,68,100,1.19,CN,1702017387
288,nar'yan-mar,67.6713,53.087,-14.74,97,100,3.0,RU,1702017388
289,granby,45.4001,-72.7324,-5.71,86,45,0.51,CA,1702017389
290,iskateley,67.6803,53.1512,-15.02,97,100,2.85,RU,1702017389
291,al bawiti,28.3492,28.8659,17.2,39,100,1.91,EG,1702017390
292,adam,22.3756,57.5233,24.55,38,0,0.86,OM,1702017390
293,sinabang,2.4803,96.3801,29.16,73,90,1.31,ID,1702017391
294,nhamunda,-2.1861,-56.7131,23.6,97,89,0.94,BR,1702017391
295,soja,34.6667,133.75,15.38,42,0,2.57,JP,1702017392
296,linxia chengguanzhen,35.6003,103.2064,9.74,20,96,0.95,CN,1702017393
297,ulanhot,46.0833,122.0833,-6.73,48,0,7.56,CN,1702017393
298,talent,42.2457,-122.7887,3.26,94,0,1.54,US,1702017394
299,kapa'a,22.0752,-159.319,23.18,83,75,2.57,US,1702017394
300,tomatlan,19.9333,-105.25,20.87,87,4,1.78,MX,1702017395
301,luderitz,-26.6481,15.1594,22.16,46,0,7.52,NA,1702017395
302,aljezur,37.3191,-8.8033,14.41,87,100,3.14,PT,1702017396
303,khorixas,-20.3667,14.9667,25.26,16,100,2.54,NA,1702017397
304,letlhakeng,-24.0944,25.0298,29.24,31,5,5.91,BW,1702017397
305,zemio,5.0314,25.1361,26.92,55,46,1.04,CF,1702017398
306,zhengzhou,34.7578,113.6486,22.27,17,100,2.16,CN,1702017121
307,polyarnyy,69.1989,33.4478,-13.24,94,92,7.85,RU,1702017399
308,whangarei,-35.7317,174.3239,16.38,66,5,2.7,NZ,1702017386
309,fort mcmurray,56.7268,-111.381,-5.27,79,0,5.66,CA,1702017328
310,sambava,-14.2667,50.1667,28.34,70,93,5.5,MG,1702017400
311,yelizovo,53.1873,158.3805,-3.92,73,75,2.0,RU,1702017401
312,lebu,-37.6167,-73.65,11.77,87,3,6.77,CL,1702017401
313,colindres,43.3864,-3.4353,11.38,83,0,7.04,ES,1702017402
314,kapuskasing,49.4169,-82.4331,-1.95,100,100,4.12,CA,1702017402
315,kavarna,43.4333,28.3333,3.57,98,100,10.29,BG,1702017402
316,puerto aysen,-45.4,-72.7,9.11,98,15,0.26,CL,1702017403
317,saynshand,44.8824,110.1163,-8.91,72,7,3.41,MN,1702017403
318,zhangye,38.9342,100.4517,7.69,21,0,0.85,CN,1702017404
319,lithgow,-33.4833,150.15,30.67,28,96,3.25,AU,1702017404
320,banda aceh,5.5577,95.3222,29.87,69,89,4.95,ID,1702017405
321,vadso,70.0744,29.7487,-7.91,79,40,10.29,NO,1702017405
322,severo-yeniseyskiy,60.3725,93.0408,-28.57,95,98,0.89,RU,1702017406
323,kamaishi,39.2667,141.8833,9.29,70,40,3.61,JP,1702017406
324,flying fish cove,-10.4217,105.6791,28.82,69,75,4.63,CX,1702017407
325,shelby,35.2001,-89.8668,10.62,57,0,3.6,US,1702017407
326,xianyang,34.3378,108.7026,16.58,27,0,2.0,CN,1702017407
327,oranjemund,-28.55,16.4333,18.87,74,69,4.13,NA,1702017408
328,ciudad guadalupe victoria,24.4497,-104.1225,11.23,59,2,3.45,MX,1702017409
329,tannum sands,-23.9504,151.3693,28.75,61,0,9.77,AU,1702017409
330,karratha,-20.7377,116.8463,38.87,23,6,8.67,AU,1702017410
331,weno,7.4515,151.8468,28.97,79,100,4.12,FM,1702017410
332,hamilton,39.1834,-84.5333,9.62,63,0,4.63,US,1702017402
333,cafayate,-26.073,-65.9761,17.11,77,98,2.39,AR,1702017411
334,hithadhoo,-0.6,73.0833,27.77,76,42,2.95,MV,1702017412
335,kenai,60.5544,-151.2583,-5.95,95,100,4.63,US,1702017412
336,tangalle,6.024,80.7911,30.09,78,99,1.53,LK,1702017413
337,bom jardim,-7.7958,-35.5872,21.57,93,93,1.56,BR,1702017413
338,ende,-8.8432,121.6623,30.01,71,58,1.55,ID,1702017414
339,akrehamn,59.2667,5.1833,2.45,59,20,5.66,NO,1702017414
340,colares,38.7992,-9.4469,15.18,94,99,11.18,PT,1702017414
341,rundu,-17.9333,19.7667,29.32,37,38,4.3,NA,1702017415
342,mawlamyinegyunn,16.3833,95.2667,31.6,57,69,2.33,MM,1702017415
343,mont-laurier,46.5501,-75.4993,-8.21,99,89,0.86,CA,1702017416
344,salinopolis,-0.6136,-47.3561,26.61,82,100,4.43,BR,1702017416
345,klyuchi,52.2667,79.1667,-22.1,69,100,3.93,RU,1702017417
346,hadibu,12.65,54.0333,26.08,60,27,6.33,YE,1702017418
347,san andres,12.5847,-81.7006,28.01,78,20,5.14,CO,1702017418
348,puerto real,36.5282,-6.1901,18.07,88,75,7.2,ES,1702017419
349,anadyr,64.75,177.4833,-20.72,84,0,10.0,RU,1702017419
350,yaren,-0.5472,166.916,26.8,83,100,3.39,NR,1702017420
351,changping,40.2186,116.2197,12.8,24,0,2.17,CN,1702017420
352,inari,68.906,27.0288,-9.89,87,100,5.04,FI,1702017277
353,island harbour,50.724,-1.2758,9.43,95,19,1.34,GB,1702017421
354,trairi,-3.2778,-39.2689,25.77,80,99,4.03,BR,1702017355
355,sittwe,20.15,92.9,27.38,75,31,3.47,MM,1702017422
356,mount pleasant,32.7941,-79.8626,11.1,88,0,1.34,US,1702017235
357,kuusamo,65.9667,29.1833,-12.98,85,100,3.09,FI,1702017424
358,vallenar,-28.5708,-70.7581,18.37,59,2,1.45,CL,1702017425
359,kirtipur,27.6667,85.2833,18.96,52,40,2.06,NP,1702017425
360,richmond,37.5538,-77.4603,4.81,76,0,2.06,US,1702017387
361,salida,37.7058,-121.0849,10.08,88,0,1.54,US,1702017359
